2631	the
1870	,
1768	100
1762	.
1332	of
1321	100.100
1194	to
998	a
991	said
980	and
969	in
933	mln
933	vs
591	;
586	&
560	dlrs
475	cts
465	reuter
461	#
436	for
429	100,100,100
406	on
391	it
372	's
347	net
308	is
295	shr
281	100,100
270	company
268	that
266	by
266	pct
262	billion
255	will
252	from
249	at
238	its
236	with
229	''
219	was
217	be
210	``
207	nine
206	has
196	he
193	u.s.
191	year
178	an
178	as
159	not
149	profit
148	would
145	mths
143	which
138	or
136	sales
134	loss
131	100.
131	inc
130	stock
125	>
125	lt
125	revs
124	corp
122	share
121	shares
120	have
117	but
116	this
115	new
113	had
112	market
107	about
107	are
105	last
104	one
102	:
99	also
99	been
93	avg
92	shrs
92	were
90	note
87	interest
86	quarter
83	(
83	)
83	bank
81	group
81	up
80	they
73	two
71	first
71	oil
67	october
66	iran
64	rates
63	than
62	government
62	other
62	west
61	we
58	common
57	president
56	months
55	exchange
55	rate
54	more
53	agreement
53	over
53	per
52	after
52	against
52	all
51	if
51	told
50	iranian
49	dollar
49	gulf
48	board
48	co
48	end
48	three
47	earlier
47	price
46	capital
46	earnings
46	month
45	ltd
45	oper
45	third
44	his
44	international
44	september
44	under
43	debt
43	finance
43	industrial
43	louvre
43	rise
43	time
42	increase
42	soviet
41	no
40	baker
40	could
40	includes
40	period
40	securities
40	tonnes
39	american
39	attack
39	because
39	november
39	six
39	trade
39	years
38	current
38	markets
38	operations
38	qtr
38	record
38	should
37	between
37	gain
37	minister
37	monday
37	offer
37	week
36	chairman
36	economic
36	financial
36	loan
36	their
36	who
35	diluted
35	dlr
35	now
34	agreed
34	august
34	five
34	include
34	income
34	into
34	major
34	officials
34	seven
34	sources
34	spokesman
34	states
34	total
33	expected
33	four
33	german
33	prior
33	sale
33	some
32	assets
32	currency
32	due
32	investment
32	prices
32	system
31	any
31	friday
31	general
31	ministry
31	outstanding
31	platform
31	products
31	tax
31	when
30	accord
30	down
30	national
30	next
30	unit
29	both
29	business
29	compared
29	figures
29	made
29	operating
29	planned
29	rose
29	saudi
29	united
28	added
28	announced
28	secretary
27	banks
27	chief
27	development
27	equity
27	federal
27	foreign
27	further
27	higher
27	issue
27	loans
27	management
27	subsidiary
27	systems
27	through
27	union
26	basis
26	contract
26	december
26	early
26	eight
26	lower
26	meeting
26	reported
26	state
25	acquisition
25	commission
25	computer
25	increased
25	industry
25	shareholders
25	war
24	100-100/100
24	analysts
24	available
24	can
24	cents
24	deficit
24	full
24	i
24	japan
24	may
24	news
24	official
24	our
24	out
24	plans
24	recent
24	same
23	during
23	firm
23	most
23	pay
23	policy
23	set
23	there
23	trading
23	treasury
23	used
22	acquired
22	expects
22	germany
22	investors
22	military
22	only
22	since
22	statement
22	value
22	washington
21	acquire
21	average
21	bond
21	called
21	data
21	exports
21	july
21	plant
21	reserve
21	response
21	services
21	today
21	world
21	yen
20	based
20	cash
20	conference
20	countries
20	do
20	economy
20	ended
20	james
20	make
20	name
20	possible
20	product
20	term
20	what
19	another
19	arabia
19	central
19	companies
19	continue
19	costs
19	deposits
19	did
19	div
19	export
19	high
19	june
19	level
19	line
19	monetary
19	part
19	priced
19	program
19	qtly
19	strike
19	until
19	york
18	annual
18	association
18	bonds
18	certain
18	closed
18	comment
18	conditions
18	each
18	growth
18	officer
18	open
18	options
18	pacific
18	primary
18	private
18	production
18	proposal
18	purchase
18	results
18	rights
18	rubber
18	see
18	software
18	still
18	telephone
18	terms
17	area
17	banking
17	canadian
17	committee
17	completed
17	computers
17	country
17	credit
17	does
17	east
17	effective
17	fiscal
17	hong
17	including
17	japanese
17	local
17	party
17	plan
17	reagan
17	reduced
17	result
17	say
17	saying
17	steel
17	sugar
17	traders
17	volume
17	weekend
16	'
16	--
16	amount
16	charge
16	decision
16	dividend
16	executive
16	grain
16	however
16	inflation
16	less
16	losses
16	lpg
16	meet
16	money
16	much
16	option
16	payments
16	profits
16	public
16	received
16	respectively
16	right
16	savings
16	sunday
16	support
16	surplus
16	take
16	talks
16	texas
16	way
15	accords
15	agency
15	alliant
15	approved
15	bankers
15	before
15	buy
15	cable
15	calmat
15	cut
15	dealers
15	department
15	division
15	far
15	february
15	goods
15	held
15	hold
15	imports
15	information
15	kong
15	kuwaiti
15	marks
15	n't
15	previously
15	prime
15	restated
15	sept
15	shipping
15	showed
15	sold
15	stability
15	tender
15	use
15	very
15	vice
15	weinberger
15	while
14	100rd
14	action
14	additional
14	already
14	asked
14	begin
14	capacity
14	crude
14	decided
14	declined
14	fully
14	future
14	issues
14	january
14	later
14	likely
14	many
14	move
14	offering
14	output
14	people
14	plc
14	poehl
14	raise
14	reserves
14	restructuring
14	several
14	so
14	start
14	strong
14	them
14	well
14	wireless
13	...
13	addition
13	adjusted
13	ago
13	around
13	attacked
13	chase
13	cost
13	decline
13	domestic
13	excludes
13	fall
13	fell
13	following
13	french
13	gas
13	increases
13	manager
13	marketing
13	missile
13	personal
13	proposed
13	radio
13	real
13	reflect
13	repurchase
13	reuters
13	signed
13	such
13	tehran
13	too
13	uganda
12	administration
12	after-tax
12	authorized
12	back
12	below
12	bring
12	change
12	city
12	control
12	defense
12	discontinued
12	facility
12	fe
12	field
12	forces
12	funds
12	gains
12	holding
12	house
12	initial
12	insurance
12	joint
12	late
12	measures
12	near
12	off
12	pact
12	partners
12	platforms
12	quoted
12	reached
12	second
12	sell
12	senior
12	soon
12	south
12	split
12	stake
12	statistics
12	stoltenberg
12	subject
12	supply
12	technology
12	thursday
12	transaction
12	units
12	wang
12	worth
11	agriculture
11	america
11	barrel
11	bought
11	british
11	bundesbank
11	canada
11	communications
11	continued
11	corp.
11	corporate
11	court
11	daily
11	dassler
11	days
11	democrats
11	director
11	estate
11	european
11	former
11	given
11	help
11	here
11	industries
11	liquidity
11	luxembourg
11	must
11	nakasone
11	nations
11	notes
11	nov
11	performance
11	point
11	policies
11	present
11	pretax
11	previous
11	put
11	remain
11	robert
11	sante
11	sea
11	selling
11	service
11	ship
11	southern
11	special
11	swiss
11	talyzin
11	then
11	venture
11	western
10	act
10	among
10	analyst
10	attacks
10	balladur
10	being
10	budget
10	build
10	center
10	coffee
10	commercial
10	coupon
10	crop
10	currently
10	day
10	despite
10	directors
10	economists
10	engineering
10	expenses
10	filing
10	franc
10	half
10	heavy
10	henley
10	hit
10	idc
10	interests
10	introduced
10	iraq
10	leading
10	least
10	led
10	london
10	low
10	main
10	march
10	medical
10	might
10	named
10	negotiations
10	north
10	own
10	owned
10	payment
10	periods
10	points
10	political
10	potential
10	pre-tax
10	puma
10	range
10	receive
10	recently
10	reporters
10	retaliation
10	roubles
10	ruling
10	scheduled
10	sector
10	seek
10	seeking
10	shareholder
10	sharp
10	short-term
10	show
10	small
10	standard
10	study
10	telecommunications
10	workers
9	100.100/100
9	according
9	account
9	ag
9	agreements
9	become
9	beet
9	belgian
9	better
9	c.
9	california
9	close
9	consider
9	council
9	currencies
9	customers
9	discuss
9	discussed
9	drug
9	economist
9	entered
9	expect
9	extraordinary
9	failed
9	fed
9	filed
9	force
9	g-100
9	going
9	gold
9	h.k
9	holders
9	holdings
9	holds
9	inc.
9	issued
9	join
9	key
9	kuwait
9	largest
9	merger
9	moscow
9	network
9	northeast
9	noted
9	order
9	owns
9	past
9	planning
9	pound
9	power
9	preferred
9	problems
9	property
9	raising
9	reduce
9	reduction
9	requirements
9	revenues
9	salomon
9	sec
9	source
9	spirit
9	statoil
9	stores
9	subordinated
9	supplies
9	tanker
9	transactions
9	version
9	via
9	waters
8	100-100
8	accept
8	adding
8	aimed
8	allow
8	although
8	approval
8	arab
8	began
8	broadcast
8	buffer
8	businesses
8	buying
8	consumer
8	contracts
8	cooperation
8	credits
8	crowns
8	dec
8	earned
8	equivalent
8	estimated
8	europe
8	expansion
8	ferruzzi
8	figure
8	financing
8	fire
8	ford
8	form
8	formed
8	fourth
8	give
8	harvest
8	head
8	home
8	improvement
8	inflationary
8	involved
8	king
8	launched
8	lead
8	leader
8	light
8	long-term
8	media
8	meetings
8	mining
8	ministers
8	natural
8	nutrasweet
8	payable
8	petroleum
8	pipeline
8	press
8	problem
8	quality
8	reaction
8	repay
8	research
8	review
8	security
8	seen
8	seidman
8	shamrock
8	significant
8	situation
8	social
8	spending
8	suit
8	sun
8	taken
8	these
8	u.s.-flagged
8	underwriting
8	vision
8	where
8	within
8	without
8	won
8	zealand
7	a/s
7	access
7	amounts
7	bci
7	believed
7	blood
7	bpd
7	bregman
7	brothers
7	calls
7	case
7	caspar
7	chemical
7	china
7	class
7	combination
7	committed
7	commodity
7	confidence
7	continuing
7	convex
7	cuts
7	definitive
7	demand
7	details
7	directly
7	discussions
7	disk
7	double
7	drilling
7	entregrowth
7	entry
7	equipment
7	estimates
7	factory
7	family
7	food
7	forecast
7	fund
7	futures
7	hearing
7	intends
7	issuance
7	italy
7	kremlin
7	large
7	latest
7	lost
7	machines
7	maker
7	materials
7	members
7	mikulic
7	mine
7	model
7	motors
7	mth
7	multifoods
7	northern
7	oct
7	offered
7	offshore
7	opened
7	paid
7	pension
7	personnel
7	petromin
7	position
7	post
7	pressure
7	primarily
7	processing
7	produce
7	purchased
7	remained
7	remains
7	remarks
7	resources
7	rises
7	rising
7	rostam
7	seats
7	short
7	significantly
7	simply
7	stocks
7	storage
7	taxes
7	think
7	third-quarter
7	those
7	trust
7	usda
7	wage
7	water
7	white
7	william
7	work
7	working
7	wyttenbach
7	yugoslavia
6	'm
6	100/100
6	accounting
6	aid
6	aircraft
6	allows
6	areas
6	armel
6	balance
6	benefit
6	borrowing
6	brown
6	calfed
6	came
6	campaign
6	carryforwards
6	centers
6	changes
6	chicago
6	coastal
6	comments
6	consumers
6	converted
6	convertible
6	county
6	crisis
6	ct
6	david
6	differential
6	difficult
6	diplomat
6	diplomats
6	disc
6	disclosed
6	edouard
6	effect
6	egyptian
6	el
6	elected
6	ending
6	eta
6	euroyen
6	f
6	fat
6	fears
6	fee
6	france
6	granted
6	gross
6	halmi
6	hard
6	hofmeister
6	igene
6	import
6	important
6	included
6	index
6	interview
6	irna
6	kaiser
6	laboratories
6	lack
6	ldp
6	leaders
6	letter
6	levels
6	limited
6	lines
6	malaysia
6	manufacturing
6	matter
6	met
6	mikhail
6	miles
6	monsanto
6	monthly
6	mortgage
6	motor
6	near-supercomputers
6	newspaper
6	nippon
6	office
6	once
6	operation
6	packages
6	par
6	particularly
6	pledges
6	poor
6	posted
6	pravda
6	preference
6	privately
6	probably
6	proceeds
6	process
6	projected
6	provision
6	purchases
6	qintex
6	rand
6	rather
6	reach
6	regulatory
6	republic
6	resignation
6	responsible
6	retirement
6	roads
6	ruder
6	rumours
6	senate
6	separate
6	shipments
6	slightly
6	speech
6	step
6	strategic
6	supreme
6	takeshita
6	television
6	times
6	tokyo
6	took
6	traded
6	transamerica
6	treasurers
6	triton
6	try
6	u.k.
6	u.n.
6	unix
6	users
6	whether
6	whole
6	woolworth
6	yet
6	yield
5	100-for-100
5	100e
5	ablaze
5	able
5	add
5	again
5	ahead
5	airlines
5	almost
5	announcement
5	apparently
5	approximately
5	architecture
5	att
5	authority
5	auto
5	automatically
5	backlog
5	bahrain
5	basic
5	bayliss
5	believe
5	berkey
5	boliden
5	brings
5	brinkmann
5	buyers
5	call
5	card
5	carry
5	cent
5	charter-crellin
5	circle
5	coalition
5	commerce
5	comparable
5	compete
5	concern
5	connection
5	considerable
5	considering
5	construction
5	contributed
5	copper
5	corby
5	criticized
5	crown
5	date
5	deal
5	debentures
5	described
5	destroyed
5	destroyers
5	develop
5	developed
5	digital
5	dividends
5	doubt
5	drive
5	drop
5	egypt
5	electric
5	electronic
5	energy
5	equal
5	escalation
5	estimate
5	even
5	exceed
5	exclusive
5	existing
5	extended
5	factor
5	feet
5	fields
5	firms
5	fixed
5	follow
5	forced
5	gave
5	gorbachev
5	grew
5	halt
5	health
5	him
5	homes
5	ic
5	informed
5	initiative
5	injured
5	inro
5	integrated
5	invest
5	investments
5	ipswich
5	iranians
5	items
5	johnson
5	kay
5	keeping
5	khamenei
5	khashoggi
5	lambert
5	leave
5	left
5	license
5	like
5	limit
5	list
5	long
5	longer
5	lowered
5	managing
5	mark
5	markka
5	microchip
5	middle
5	minicomputers
5	morning
5	nation
5	navy
5	nec
5	networks
5	never
5	norsk
5	northrop
5	nppc
5	number
5	operative
5	orders
5	ordinary
5	originally
5	outside
5	ownership
5	panic
5	parallel
5	parties
5	place
5	police
5	pork
5	predicted
5	pressures
5	principal
5	privately-held
5	producers
5	proposals
5	prospect
5	purposes
5	pursue
5	rainier
5	raised
5	ratio
5	really
5	recommended
5	reflects
5	regarding
5	regional
5	relatively
5	renta
5	replacing
5	resigned
5	responding
5	retaliatory
5	revenue
5	ringgit
5	road
5	row
5	running
5	saturday
5	series
5	serve
5	silkworm
5	single
5	ski
5	slide
5	slow
5	smith
5	staff
5	stations
5	stg
5	street
5	studies
5	substantially
5	suggested
5	supercomputers
5	suspension
5	swedish
5	taking
5	tank
5	target
5	targets
5	tension
5	test
5	thought
5	three-for-two
5	tonne
5	tons
5	top
5	totaled
5	trader
5	transfer
5	travelers
5	twice
5	underwriters
5	unlikely
5	utilization
5	veslefrikk
5	view
5	visit
5	voted
5	wall
5	want
5	warned
5	warrants
4	-
4	ab
4	abroad
4	accepted
4	acquiring
4	activities
4	adherence
4	advance
4	aerospace
4	affected
4	afternoon
